Interval,R2,RMSE,MAPE
5min,0.7173668652241123,8661.948129151244,0.3810631323661611
15min,0.7174814531466569,8660.328636625189,0.38110877232321677
1hour,0.7177740808746839,8656.450512792522,0.38121084061992844
