Model,R2,RMSE,MAPE
Linear Regression,0.9840341802349142,1789.703742230896,3.4193887428216287
Random Forest,0.855370983304128,5386.581706162895,13.692825387218283
XGBoost,0.88453641609153,4812.913449375916,9.85087931384697
Tuned Random Forest,0.8523531334687435,5442.490157222889,13.760726530757609
